Year,Team_Strengh_Last_Year,Team,Recruits,Class_Points,Conference,Picks,Points,QB_Drafted
2009,10.8296719024607,Houston,25,151.26,AAC,1,8.7,0
2009,-22.8099700012626,Idaho,20,77.63,SBC,1,0.2,0
2009,-23.0027997040936,Idaho State,NA,NA,NA,0,0,0
2009,13.1155684118782,Illinois,24,203.37,Big-Ten,3,17.3,0
2009,-23.2055290060154,Illinois State,NA,NA,NA,0,0,0
2009,-9.02429673674136,Indiana,20,151.49,Big-Ten,0,0,0
2009,-46.3786501483441,Indiana State,NA,NA,NA,0,0,0
2009,24.7278557151979,Iowa,22,151.17,Big-Ten,4,20.2,0
2009,-1.79857720195885,Iowa State,23,144.6,Big-12,0,0,0
2009,-6.83344468826767,Jacksonville State,NA,NA,NA,0,0,0
2009,-11.9306299505011,James Madison,NA,NA,NA,0,0,0
2009,16.6322106444534,Kansas,26,181.34,Big-12,0,0,0
2009,5.61957493631752,Kansas State,24,134.98,Big-12,1,16.6,1
2009,-4.16437570944863,Kent State,23,120.63,MAC,1,0.1,0
2009,8.20118521401945,Kentucky,28,188.55,SEC,1,0.6,0
2009,15.6595826681816,Louisiana State,25,291.33,SEC,6,33,0
2009,-0.0358904626903076,Louisiana Tech,26,133.35,C-USA,0,0,0
2009,-0.724959519308941,Louisiana-Lafayette,17,82.82,SBC,0,0,0
2009,-9.02820399744678,Louisiana-Monroe,28,109.38,SBC,0,0,0
2009,-1.40283430943321,Louisville,29,161.45,ACC,2,15.3,0
2009,-14.4508709342088,Maine,NA,NA,NA,0,0,0
2009,-2.02680235660609,Marshall,24,120.98,C-USA,0,0,0
2009,10.1717095284198,Maryland,30,205.49,Big-Ten,5,29.2,0
2009,-8.87062641266128,Massachusetts,2,0,MAC,0,0,0
2009,15.3668105163951,McNeese State,NA,NA,NA,1,1.7,0
2009,0.580608833663003,Memphis,24,128.94,AAC,1,0.1,0
2009,15.5170560144508,Miami (FL),18,236.28,ACC,1,1.7,0
2009,-11.3108577462355,Miami (OH),24,117.77,MAC,1,0.1,0
2009,3.45886109352263,Michigan,22,255.78,Big-Ten,2,4.9,0
2009,15.2024479393786,Michigan State,41,211.36,Big-Ten,1,1.8,0
2009,-3.72452081284417,Middle Tennessee State,26,119.58,C-USA,0,0,0
2009,5.45353076348288,Minnesota,23,194.32,Big-Ten,0,0,0
2009,25.2752005873933,Mississippi,37,227.81,SEC,4,35.5,0
2009,-0.258018012055828,Mississippi State,32,226.44,SEC,0,0,0
2009,27.5563978204708,Missouri,26,197.24,Big-12,6,46.9,0
2009,-15.2192572535092,Missouri State,NA,NA,NA,0,0,0
2009,-26.1421737995072,Montana State,NA,NA,NA,0,0,0
2009,-18.3196755779563,Morgan State,NA,NA,NA,0,0,0
2009,-48.5658526388027,Murray State,NA,NA,NA,0,0,0
2009,12.1406872157951,Navy,6,33.97,IND,0,0,0
2009,17.6900328799378,Nebraska,34,189.97,Big-Ten,3,3.6,0
2009,7.42314884987934,Nevada,19,113.49,M-West,1,0.1,0
2009,-0.729837819408012,Nevada-Las Vegas,21,124.66,M-West,1,1.9,0
2009,18.0878174016185,New Hampshire,NA,NA,NA,0,0,0
2009,6.08564502844273,New Mexico,18,94.38,M-West,2,5.5,0
2009,-13.5764248748463,New Mexico State,18,84.96,SBC,0,0,0
2009,-16.5981178157443,Nicholls State,NA,NA,NA,1,6.1,0
2009,-22.9775414353879,Norfolk State,NA,NA,NA,1,1.6,0
2009,19.5455371658014,North Carolina,28,254.96,ACC,5,32.5,0
2009,10.8019697607922,North Carolina State,27,176.3,ACC,2,7.7,0
2009,-7.4286408558516,North Dakota State,NA,NA,NA,1,0.1,0
2009,-24.6748680730559,North Texas,20,110.08,C-USA,0,0,0
2009,-12.3165780670009,Northeastern,NA,NA,NA,0,0,0
2009,-2.4487314928381,Northern Arizona,NA,NA,NA,0,0,0
2009,-17.7088427721399,Northern Colorado,NA,NA,NA,0,0,0
2009,4.95173249526914,Northern Illinois,25,104.08,MAC,1,16.9,0
2009,-2.95261552625482,Northern Iowa,NA,NA,NA,0,0,0
2009,12.6946884599277,Northwestern,19,157.34,Big-Ten,0,0,0
2009,-30.0276619325967,Northwestern State,NA,NA,NA,0,0,0
2009,12.3598985904459,Notre Dame,21,240.45,IND,1,4.4,0
2009,-0.0889233471609856,Ohio,21,97.25,MAC,1,10.1,0
2009,27.6239384059709,Ohio State,36,280.19,Big-Ten,7,66.7,0
2009,43.6821324110202,Oklahoma,22,258.53,Big-12,5,19.6,0
2009,24.9594693958982,Oklahoma State,26,196.88,Big-12,1,15.5,0
2009,25.5519697012904,Oregon,37,207.52,Pac-12,6,35.8,0
2009,21.3549210115916,Oregon State,25,174.97,Pac-12,7,27.7,0
2009,35.3754587757055,Penn State,25,228.51,Big-Ten,5,35.8,0
2009,17.3291147043335,Pittsburgh,20,191.37,ACC,4,12.4,0
2009,-56.8037314729522,Portland State,NA,NA,NA,0,0,0
2009,10.4698838772673,Purdue,21,146.62,Big-Ten,2,8.6,1
2009,-21.8562443633961,Rhode Island,NA,NA,NA,0,0,0
2009,10.9421436535679,Rice,24,122.23,C-USA,2,5.6,0
2009,-3.48729084003015,Richmond,NA,NA,NA,1,3.9,0
2009,15.8590510714509,Rutgers,23,195.55,Big-Ten,5,15.5,1
2009,4.01351314245784,Sacramento State,NA,NA,NA,0,0,0
2009,-3.54651600495403,Sam Houston State,NA,NA,NA,1,2.7,1
2009,5.0964739379859,Samford,NA,NA,NA,0,0,0
2009,-11.7077546629165,San Diego State,20,113.34,M-West,1,0.1,0
2009,-2.19531443505998,San Jose State,2,3.33,M-West,3,14.8,0
2009,14.7395439810532,South Carolina,36,250.02,SEC,7,14.6,0
2009,-24.7473745188521,South Carolina State,NA,NA,NA,0,0,0
2009,-24.9773038513646,South Dakota State,NA,NA,NA,0,0,0
2009,12.7060921228904,South Florida,29,211.06,AAC,1,5.5,0
2009,-17.6223288289366,Southeast Missouri State,NA,NA,NA,0,0,0
2009,-15.8256808867805,Southeastern Louisiana,NA,NA,NA,0,0,0
2009,-37.3490547469461,Southern,NA,NA,NA,0,0,0
2009,41.3269848385217,Southern California,18,285.69,Pac-12,11,95.9,1
2009,-9.48403818947964,Southern Illinois,NA,NA,NA,0,0,0
2009,-9.54537284758781,Southern Methodist,27,159.36,AAC,1,2.1,0
2009,9.32475901158765,Southern Mississippi,26,172.99,C-USA,2,7.7,0
2009,-19.8787368400161,Southern Utah,NA,NA,NA,0,0,0
2009,12.3006566306492,Stanford,23,229.23,Pac-12,0,0,0
2009,-27.4256508159331,Stephen F. Austin,NA,NA,NA,0,0,0
2009,-3.40709912303909,Syracuse,16,115.21,ACC,2,3.8,0
2009,5.08357295563616,Temple,29,82.92,AAC,1,7.4,0
2009,10.4552427586334,Tennessee,21,261.61,SEC,1,16.2,0
2009,-32.1248437829631,Tennessee Tech,NA,NA,NA,0,0,0
2009,-18.7658145134531,Tennessee-Martin,NA,NA,NA,0,0,0
2009,37.7361693800384,Texas,20,269.94,Big-12,4,30.4,0
2009,1.24451198802504,Texas A&M,30,215.79,Big-12,2,9.8,1
2009,28.7530758334738,Texas Christian,21,178.83,Big-12,5,6.8,0
2009,-70.8366879203205,Texas Southern,NA,NA,NA,0,0,0
2009,-16.7240994969951,Texas State,2,0,SBC,0,0,0
2009,29.3081002367462,Texas Tech,24,195.65,Big-12,4,40.8,0
2009,1.06085734452452,Texas-El Paso,NA,NA,NA,0,0,0
2009,-5.72973542527435,Toledo,23,121.42,MAC,0,0,0
2009,-12.0380394336118,Towson,NA,NA,NA,0,0,0
2009,10.169723759813,Troy,41,158.31,SBC,1,8.6,0
2009,-12.611265450114,Tulane,27,136.2,AAC,1,3.4,0
2009,18.1362267801298,Tulsa,26,153.91,AAC,0,0,0
2009,0.918951241083226,UCLA,31,255.36,Pac-12,0,0,0
2009,26.3211908516269,Utah,24,181.72,Pac-12,4,18.7,0
2009,-5.39065750479383,Utah State,20,87.65,M-West,0,0,0
2009,12.4820122285866,Vanderbilt,18,147.2,SEC,1,4.2,0
2009,-9.1585168825199,Villanova,NA,NA,NA,0,0,0
2009,8.69143580937719,Virginia,34,195.7,ACC,4,33.8,0
2009,-16.2676499965683,Virginia Military Institute,NA,NA,NA,0,0,0
2009,16.3316127392701,Virginia Tech,24,217.55,ACC,1,2.4,0
2009,15.852111386409,Wake Forest,23,155.33,ACC,4,45.9,0
2009,-8.54046731293625,Washington,20,145.38,Pac-12,0,0,0
2009,-21.6250048235447,Washington State,21,157.94,Pac-12,1,1.1,0
2009,-0.810094387186878,Weber State,NA,NA,NA,1,0.4,0
2009,14.0202097668875,West Virginia,29,220.6,Big-12,3,11,1
2009,-43.7278049336514,Western Carolina,NA,NA,NA,0,0,0
2009,6.25874249021802,Western Illinois,NA,NA,NA,0,0,0
2009,-12.7499552420492,Western Kentucky,1,0,C-USA,0,0,0
2009,4.51060004232193,Western Michigan,26,114.02,MAC,2,12.6,0
2009,4.62324311138507,William & Mary,NA,NA,NA,1,7.3,0
