"Game_Num","Week","Date","Time","Day","Home","Location","Away","Notes","Neutral"
"512","9","Oct 22, 2016","12:00 PM","Sat","West Virginia",NA,"Texas Christian","",0
"513","9","Oct 22, 2016","3:30 PM","Sat","Western Kentucky",NA,"Old Dominion","",0
"514","9","Oct 22, 2016","12:00 PM","Sat","Western Michigan",NA,"Eastern Michigan","",0
"515","10","Oct 27, 2016","7:30 PM","Thu","Buffalo",NA,"Akron","",0
"516","10","Oct 27, 2016","7:30 PM","Thu","Georgia Southern",NA,"Appalachian State","",0
"517","10","Oct 27, 2016","7:00 PM","Thu","Pittsburgh",NA,"Virginia Tech","",0
"518","10","Oct 27, 2016","10:30 PM","Thu","Southern California",NA,"California","",0
"519","10","Oct 27, 2016","7:30 PM","Thu","Toledo",NA,"Ohio","",0
"520","10","Oct 28, 2016","10:30 PM","Fri","Fresno State",NA,"Air Force","",0
"521","10","Oct 28, 2016","12:00 PM","Fri","South Florida",NA,"Navy","",0
"522","10","Oct 28, 2016","8:00 PM","Fri","Utah State",NA,"San Diego State","",0
"523","10","Oct 29, 2016","12:00 PM","Sat","Arizona",NA,"Stanford","",0
"524","10","Oct 29, 2016","12:00 PM","Sat","Arkansas State",NA,"Louisiana-Monroe","",0
"525","10","Oct 29, 2016","12:00 PM","Sat","Central Michigan",NA,"Kent State","",0
"526","10","Oct 29, 2016","12:00 PM","Sat","East Carolina",NA,"Connecticut","",0
"527","10","Oct 29, 2016","12:00 PM","Sat","Eastern Michigan",NA,"Miami (OH)","",0
"528","10","Oct 29, 2016","12:00 PM","Sat","Florida Atlantic",NA,"Western Kentucky","",0
"529","10","Oct 29, 2016","12:00 PM","Sat","Florida International",NA,"Middle Tennessee State","",0
"530","10","Oct 29, 2016","12:00 PM","Sat","Florida State",NA,"Clemson","",0
"531","10","Oct 29, 2016","3:30 PM","Sat","Georgia",NA,"Florida","",0
"532","10","Oct 29, 2016","12:00 PM","Sat","Georgia Tech",NA,"Duke","",0
"533","10","Oct 29, 2016","12:00 PM","Sat","Hawaii",NA,"New Mexico","",0
"534","10","Oct 29, 2016","12:00 PM","Sat","Houston",NA,"Central Florida","",0
"535","10","Oct 29, 2016","12:00 PM","Sat","Illinois",NA,"Minnesota","",0
"536","10","Oct 29, 2016","12:00 PM","Sat","Indiana",NA,"Maryland","",0
"537","10","Oct 29, 2016","12:00 PM","Sat","Iowa State",NA,"Kansas State","",0
"538","10","Oct 29, 2016","12:00 PM","Sat","Louisiana Tech",NA,"Rice","",0
"539","10","Oct 29, 2016","12:00 PM","Sat","Massachusetts",NA,"Wagner","",0
"540","10","Oct 29, 2016","12:00 PM","Sat","Memphis",NA,"Tulsa","",0
"541","10","Oct 29, 2016","12:00 PM","Sat","Michigan State",NA,"Michigan","",0
"542","10","Oct 29, 2016","12:00 PM","Sat","Mississippi",NA,"Auburn","",0
"543","10","Oct 29, 2016","12:00 PM","Sat","Mississippi State",NA,"Samford","",0
"544","10","Oct 29, 2016","12:00 PM","Sat","Missouri",NA,"Kentucky","",0
"545","10","Oct 29, 2016","12:00 PM","Sat","North Carolina State",NA,"Boston College","",0
"546","10","Oct 29, 2016","3:30 PM","Sat","Notre Dame",NA,"Miami (FL)","",0
"547","10","Oct 29, 2016","5:30 PM","Sat","Ohio State",NA,"Northwestern","",0
"548","10","Oct 29, 2016","12:00 PM","Sat","Oklahoma",NA,"Kansas","",0
"549","10","Oct 29, 2016","12:00 PM","Sat","Oklahoma State",NA,"West Virginia","",0
"550","10","Oct 29, 2016","12:00 PM","Sat","Oregon",NA,"Arizona State","",0
"551","10","Oct 29, 2016","12:00 PM","Sat","Oregon State",NA,"Washington State","",0
"552","10","Oct 29, 2016","12:00 PM","Sat","Purdue",NA,"Penn State","",0
"553","10","Oct 29, 2016","12:00 PM","Sat","San Jose State",NA,"Nevada-Las Vegas","",0
"554","10","Oct 29, 2016","12:00 PM","Sat","South Alabama",NA,"Georgia State","",0
"555","10","Oct 29, 2016","12:00 PM","Sat","South Carolina",NA,"Tennessee","",0
"556","10","Oct 29, 2016","12:00 PM","Sat","Southern Mississippi",NA,"Marshall","",0
"557","10","Oct 29, 2016","12:00 PM","Sat","Temple",NA,"Cincinnati","",0
"558","10","Oct 29, 2016","12:00 PM","Sat","Texas",NA,"Baylor","",0
"559","10","Oct 29, 2016","12:00 PM","Sat","Texas A&M",NA,"New Mexico State","",0
"560","10","Oct 29, 2016","12:00 PM","Sat","Texas Christian",NA,"Texas Tech","",0
"561","10","Oct 29, 2016","12:00 PM","Sat","Texas-El Paso",NA,"Old Dominion","",0
"562","10","Oct 29, 2016","12:00 PM","Sat","Texas-San Antonio",NA,"North Texas","",0
"563","10","Oct 29, 2016","12:00 PM","Sat","Tulane",NA,"Southern Methodist","",0
"564","10","Oct 29, 2016","12:00 PM","Sat","Utah",NA,"Washington","",0
"565","10","Oct 29, 2016","12:00 PM","Sat","Virginia",NA,"Louisville","",0
"566","10","Oct 29, 2016","12:00 PM","Sat","Wake Forest",NA,"Army","",0
"567","10","Oct 29, 2016","7:00 PM","Sat","Wisconsin",NA,"Nebraska","",0
"568","10","Oct 29, 2016","12:00 PM","Sat","Wyoming",NA,"Boise State","",0
"569","11","Nov 1, 2016","8:00 PM","Tue","Ball State",NA,"Western Michigan","",0
"570","11","Nov 1, 2016","8:00 PM","Tue","Northern Illinois",NA,"Bowling Green State","",0
"571","11","Nov 2, 2016","7:30 PM","Wed","Akron",NA,"Toledo","",0
"572","11","Nov 3, 2016","12:00 PM","Thu","Colorado",NA,"UCLA","",0
"573","11","Nov 3, 2016","7:30 PM","Thu","Georgia State",NA,"Arkansas State","",0
"574","11","Nov 3, 2016","7:30 PM","Thu","Iowa State",NA,"Oklahoma","",0
"575","11","Nov 3, 2016","6:00 PM","Thu","Ohio",NA,"Buffalo","",0
"576","11","Nov 4, 2016","10:15 PM","Fri","Boise State",NA,"San Jose State","",0
"577","11","Nov 4, 2016","12:00 PM","Fri","Connecticut",NA,"Temple","",0
"578","11","Nov 4, 2016","6:00 PM","Fri","Miami (OH)",NA,"Central Michigan","",0
"579","11","Nov 5, 2016","12:00 PM","Sat","Appalachian State",NA,"Texas State","",0
"580","11","Nov 5, 2016","12:00 PM","Sat","Arkansas",NA,"Florida","",0
"581","11","Nov 5, 2016","12:00 PM","Sat","Army",NA,"Air Force","",0
"582","11","Nov 5, 2016","12:00 PM","Sat","Auburn",NA,"Vanderbilt","",0
"583","11","Nov 5, 2016","12:00 PM","Sat","Baylor",NA,"Texas Christian","",0
"584","11","Nov 5, 2016","12:00 PM","Sat","Boston College",NA,"Louisville","",0
"585","11","Nov 5, 2016","12:00 PM","Sat","California",NA,"Washington","",0
"586","11","Nov 5, 2016","12:00 PM","Sat","Cincinnati",NA,"Brigham Young","",0
"587","11","Nov 5, 2016","12:00 PM","Sat","Clemson",NA,"Syracuse","",0
"588","11","Nov 5, 2016","12:00 PM","Sat","Colorado State",NA,"Fresno State","",0
