"Rk","Wk","Date","Time","Day","Away","Pts","none","Home","Pts","TV","Notes","Away_CFB_Stats_Team_Code","Away_CFB_Stats_Name","Home_CFB_Stats_Team_Code","Home_CFB_Stats_Name"
"114","2","Sep 12 2015","","Sat","Lamar","0",NA,"Baylor","0","","",346,"Lamar",51,"Baylor"
"115","2","Sep 12 2015","","Sat","Liberty","0",NA,"West Virginia","0","","",355,"Liberty",768,"West Virginia"
"116","2","Sep 12 2015","","Sat","Louisiana Tech","0",NA,"Western Kentucky","0","","",366,"Louisiana Tech",772,"Western Kentucky"
"117","2","Sep 12 2015","","Sat","Marshall","0",NA,"Ohio","0","","",388,"Marshall",519,"Ohio"
"118","2","Sep 12 2015","","Sat","Massachusetts","0",NA,"Colorado","0","","",400,"Massachusetts",157,"Colorado"
"119","2","Sep 12 2015","","Sat","Memphis","0",NA,"Kansas","0","","",404,"Memphis",328,"Kansas"
"120","2","Sep 12 2015","","Sat","Miami (FL)","0",NA,"Florida Atlantic","0","","",415,"Miami (Florida)",229,"Florida Atlantic"
"121","2","Sep 12 2015","","Sat","Miami (OH)","0",NA,"Wisconsin","0","","",414,"Miami (Ohio)",796,"Wisconsin"
"122","2","Sep 12 2015","","Sat","Middle Tennessee State","0",NA,"Alabama","0","","",419,"Middle Tennessee",8,"Alabama"
"123","2","Sep 12 2015","","Sat","Minnesota","0",NA,"Colorado State","0","","",428,"Minnesota",156,"Colorado State"
"124","2","Sep 12 2015","","Sat","Missouri","0",NA,"Arkansas State","0","","",434,"Missouri",30,"Arkansas State"
"125","2","Sep 12 2015","","Sat","Murray State","0",NA,"Northern Illinois","0","","",454,"Murray State",503,"Northern Illinois"
"126","2","Sep 12 2015","","Sat","Nicholls State","0",NA,"Louisiana-Monroe","0","","",483,"Nicholls State",498,"Louisiana-Monroe"
"127","2","Sep 12 2015","","Sat","Norfolk State","0",NA,"Old Dominion","0","","",485,"Norfolk State",523,"Old Dominion"
"128","2","Sep 12 2015","","Sat","North Carolina Central","0",NA,"Duke","0","","",489,"N.C. Central",193,"Duke"
"129","2","Sep 12 2015","","Sat","North Texas","0",NA,"Southern Methodist","0","","",497,"North Texas",663,"SMU"
"130","2","Sep 12 2015","","Sat","Northwestern State","0",NA,"Louisiana-Lafayette","0","","",508,"Northwestern State",671,"Louisiana-Lafayette"
"131","2","Sep 12 2015","","Sat","Notre Dame","0",NA,"Virginia","0","","",513,"Notre Dame",746,"Virginia"
"132","2","Sep 12 2015","","Sat","Oklahoma","0",NA,"Tennessee","0","","",522,"Oklahoma",694,"Tennessee"
"133","2","Sep 12 2015","","Sat","Oregon","0",NA,"Michigan State","0","","",529,"Oregon",416,"Michigan State"
"134","2","Sep 12 2015","","Sat","Oregon State","0",NA,"Michigan","0","","",528,"Oregon State",418,"Michigan"
"135","2","Sep 12 2015","","Sat","Pittsburgh","0",NA,"Akron","0","","",545,"Pittsburgh",5,"Akron"
"136","2","Sep 12 2015","","Sat","Prairie View A&M","0",NA,"Texas State","0","","",553,"Prairie View A&M",670,"Texas State"
"137","2","Sep 12 2015","","Sat","Presbyterian","0",NA,"UNC Charlotte","0","","",1320,"Presbyterian",NA,NA
"138","2","Sep 12 2015","","Sat","Rice","0",NA,"Texas","0","","",574,"Rice",703,"Texas"
"139","2","Sep 12 2015","","Sat","Sacramento State","0",NA,"Washington","0","","",102,"Sacramento State",756,"Washington"
"140","2","Sep 12 2015","","Sat","San Diego State","0",NA,"California","0","","",626,"San Diego State",107,"California"
"141","2","Sep 12 2015","","Sat","San Jose State","0",NA,"Air Force","0","","",630,"San Jose State",721,"Air Force"
"142","2","Sep 12 2015","","Sat","South Alabama","0",NA,"Nebraska","0","","",646,"South Alabama",463,"Nebraska"
"143","2","Sep 12 2015","","Sat","South Florida","0",NA,"Florida State","0","","",651,"South Florida",234,"Florida State"
"144","2","Sep 12 2015","","Sat","Stephen F. Austin","0",NA,"Texas Christian","0","","",676,"Stephen F. Austin",698,"TCU"
"145","2","Sep 12 2015","","Sat","Temple","0",NA,"Cincinnati","0","","",690,"Temple",140,"Cincinnati"
"146","2","Sep 12 2015","","Sat","Texas-El Paso","0",NA,"Texas Tech","0","","",704,"UTEP",700,"Texas Tech"
"147","2","Sep 12 2015","","Sat","Toledo","0",NA,"Arkansas","0","","",709,"Toledo",31,"Arkansas"
"148","2","Sep 12 2015","","Sat","Tulane","0",NA,"Georgia Tech","0","","",718,"Tulane",255,"Georgia Tech"
"149","2","Sep 12 2015","","Sat","Tulsa","0",NA,"New Mexico","0","","",719,"Tulsa",473,"New Mexico"
"150","2","Sep 12 2015","","Sat","UCLA","0",NA,"Nevada-Las Vegas","0","","",110,"UCLA",465,"UNLV"
"151","2","Sep 12 2015","","Sat","Utah State","0",NA,"Utah","0","","",731,"Utah State",732,"Utah"
"152","2","Sep 12 2015","","Sat","Wake Forest","0",NA,"Syracuse","0","","",749,"Wake Forest",688,"Syracuse"
"153","2","Sep 12 2015","","Sat","Washington State","0",NA,"Rutgers","0","","",754,"Washington State",587,"Rutgers"
"154","2","Sep 12 2015","","Sat","Western Illinois","0",NA,"Illinois","0","","",771,"Western Illinois",301,"Illinois"
"155","2","Sep 12 2015","","Sat","Western Michigan","0",NA,"Georgia Southern","0","","",774,"Western Michigan",253,"Georgia Southern"
"156","3","Sep 17 2015","","Thu","Clemson","0",NA,"Louisville","0","","",147,"Clemson",367,"Louisville"
"157","3","Sep 18 2015","","Fri","Florida State","0",NA,"Boston College","0","","",234,"Florida State",67,"Boston College"
"158","3","Sep 18 2015","","Fri","Idaho State","0",NA,"Boise State","0","","",294,"Idaho State",66,"Boise State"
"159","3","Sep 18 2015","","Fri","New Mexico","0",NA,"Arizona State","0","","",473,"New Mexico",28,"Arizona State"
"160","3","Sep 19 2015","","Sat","Air Force","0",NA,"Michigan State","0","","",721,"Air Force",416,"Michigan State"
"161","3","Sep 19 2015","","Sat","Auburn","0",NA,"Louisiana State","0","","",37,"Auburn",365,"LSU"
"162","3","Sep 19 2015","","Sat","Austin Peay","0",NA,"Vanderbilt","0","","",43,"Austin Peay",736,"Vanderbilt"
"163","3","Sep 19 2015","","Sat","Ball State","0",NA,"Eastern Michigan","0","","",47,"Ball State",204,"Eastern Michigan"
"164","3","Sep 19 2015","","Sat","Brigham Young","0",NA,"UCLA","0","","",77,"BYU",110,"UCLA"
"165","3","Sep 19 2015","","Sat","Buffalo","0",NA,"Florida Atlantic","0","","",86,"Buffalo",229,"Florida Atlantic"
"166","3","Sep 19 2015","","Sat","California","0",NA,"Texas","0","","",107,"California",703,"Texas"
"167","3","Sep 19 2015","","Sat","California-Davis","0",NA,"Hawaii","0","","",108,"UC Davis",277,"Hawai'i"
"168","3","Sep 19 2015","","Sat","Central Michigan","0",NA,"Syracuse","0","","",129,"Central Michigan",688,"Syracuse"
"169","3","Sep 19 2015","","Sat","Cincinnati","0",NA,"Miami (OH)","0","","",140,"Cincinnati",414,"Miami (Ohio)"
"170","3","Sep 19 2015","","Sat","Citadel","0",NA,"Georgia Southern","0","","",141,"Citadel",253,"Georgia Southern"
"171","3","Sep 19 2015","","Sat","Colorado","0",NA,"Colorado State","0","","",157,"Colorado",156,"Colorado State"
"172","3","Sep 19 2015","","Sat","Connecticut","0",NA,"Missouri","0","","",164,"Connecticut",434,"Missouri"
"173","3","Sep 19 2015","","Sat","East Carolina","0",NA,"Navy","0","","",196,"East Carolina",726,"Navy"
"174","3","Sep 19 2015","","Sat","Florida","0",NA,"Kentucky","0","","",235,"Florida",334,"Kentucky"
"175","3","Sep 19 2015","","Sat","Furman","0",NA,"Central Florida","0","","",244,"Furman",128,"UCF"
"176","3","Sep 19 2015","","Sat","Georgia State","0",NA,"Oregon","0","","",254,"Georgia State",529,"Oregon"
"177","3","Sep 19 2015","","Sat","Georgia Tech","0",NA,"Notre Dame","0","","",255,"Georgia Tech",513,"Notre Dame"
"178","3","Sep 19 2015","","Sat","Illinois","0",NA,"North Carolina","0","","",301,"Illinois",457,"North Carolina"
"179","3","Sep 19 2015","","Sat","Iowa State","0",NA,"Toledo","0","","",311,"Iowa State",709,"Toledo"
"180","3","Sep 19 2015","","Sat","Kent State","0",NA,"Minnesota","0","","",331,"Kent State",428,"Minnesota"
"181","3","Sep 19 2015","","Sat","Louisiana Tech","0",NA,"Kansas State","0","","",366,"Louisiana Tech",327,"Kansas State"
"182","3","Sep 19 2015","","Sat","Maine","0",NA,"Tulane","0","","",380,"Maine",718,"Tulane"
"183","3","Sep 19 2015","","Sat","Memphis","0",NA,"Bowling Green State","0","","",404,"Memphis",71,"Bowling Green"
"184","3","Sep 19 2015","","Sat","Mississippi","0",NA,"Alabama","0","","",433,"Mississippi",8,"Alabama"
"185","3","Sep 19 2015","","Sat","Missouri State","0",NA,"Arkansas State","0","","",669,"Missouri State",30,"Arkansas State"
"186","3","Sep 19 2015","","Sat","Nebraska","0",NA,"Miami (FL)","0","","",463,"Nebraska",415,"Miami (Florida)"
"187","3","Sep 19 2015","","Sat","Nevada","0",NA,"Texas A&M","0","","",466,"Nevada",697,"Texas A&M"
"188","3","Sep 19 2015","","Sat","Nevada-Las Vegas","0",NA,"Michigan","0","","",465,"UNLV",418,"Michigan"
"189","3","Sep 19 2015","","Sat","Norfolk State","0",NA,"Marshall","0","","",485,"Norfolk State",388,"Marshall"
"190","3","Sep 19 2015","","Sat","North Carolina Central","0",NA,"Florida International","0","","",489,"N.C. Central",231,"Florida International"
"191","3","Sep 19 2015","","Sat","North Carolina State","0",NA,"Old Dominion","0","","",490,"North Carolina State",523,"Old Dominion"
"192","3","Sep 19 2015","","Sat","Northern Arizona","0",NA,"Arizona","0","","",501,"Northern Arizona",29,"Arizona"
"193","3","Sep 19 2015","","Sat","Northern Illinois","0",NA,"Ohio State","0","","",503,"Northern Illinois",518,"Ohio State"
"194","3","Sep 19 2015","","Sat","Northwestern","0",NA,"Duke","0","","",509,"Northwestern",193,"Duke"
"195","3","Sep 19 2015","","Sat","Pittsburgh","0",NA,"Iowa","0","","",545,"Pittsburgh",312,"Iowa"
"196","3","Sep 19 2015","","Sat","Rice","0",NA,"North Texas","0","","",574,"Rice",497,"North Texas"
"197","3","Sep 19 2015","","Sat","Rutgers","0",NA,"Penn State","0","","",587,"Rutgers",539,"Penn State"
"198","3","Sep 19 2015","","Sat","San Jose State","0",NA,"Oregon State","0","","",630,"San Jose State",528,"Oregon State"
"199","3","Sep 19 2015","","Sat","Savannah State","0",NA,"Akron","0","","",632,"Savannah State",5,"Akron"
"200","3","Sep 19 2015","","Sat","South Alabama","0",NA,"San Diego State","0","","",646,"South Alabama",626,"San Diego State"
"201","3","Sep 19 2015","","Sat","South Carolina","0",NA,"Georgia","0","","",648,"South Carolina",257,"Georgia"
"202","3","Sep 19 2015","","Sat","South Florida","0",NA,"Maryland","0","","",651,"South Florida",392,"Maryland"
"203","3","Sep 19 2015","","Sat","Southeastern Louisiana","0",NA,"Ohio","0","","",655,"Southeastern Louisiana",519,"Ohio"
"204","3","Sep 19 2015","","Sat","Southern Methodist","0",NA,"Texas Christian","0","","",663,"SMU",698,"TCU"
"205","3","Sep 19 2015","","Sat","Southern Mississippi","0",NA,"Texas State","0","","",664,"Southern Mississippi",670,"Texas State"
"206","3","Sep 19 2015","","Sat","Stanford","0",NA,"Southern California","0","","",674,"Stanford",657,"USC"
"207","3","Sep 19 2015","","Sat","Temple","0",NA,"Massachusetts","0","","",690,"Temple",400,"Massachusetts"
"208","3","Sep 19 2015","","Sat","Texas Tech","0",NA,"Arkansas","0","","",700,"Texas Tech",31,"Arkansas"
"209","3","Sep 19 2015","","Sat","Texas-El Paso","0",NA,"New Mexico State","0","","",704,"UTEP",472,"New Mexico State"
"210","3","Sep 19 2015","","Sat","Texas-San Antonio","0",NA,"Oklahoma State","0","","",706,"UTSA",521,"Oklahoma State"
"211","3","Sep 19 2015","","Sat","Troy","0",NA,"Wisconsin","0","","",716,"Troy",796,"Wisconsin"
"212","3","Sep 19 2015","","Sat","Tulsa","0",NA,"Oklahoma","0","","",719,"Tulsa",522,"Oklahoma"
"213","3","Sep 19 2015","","Sat","UNC Charlotte","0",NA,"Middle Tennessee State","0","","",NA,NA,419,"Middle Tennessee"
"214","3","Sep 19 2015","","Sat","Utah","0",NA,"Fresno State","0","","",732,"Utah",96,"Fresno State"
"215","3","Sep 19 2015","","Sat","Utah State","0",NA,"Washington","0","","",731,"Utah State",756,"Washington"
"216","3","Sep 19 2015","","Sat","Virginia Tech","0",NA,"Purdue","0","","",742,"Virginia Tech",559,"Purdue"
"217","3","Sep 19 2015","","Sat","Wake Forest","0",NA,"Army","0","","",749,"Wake Forest",725,"Army"
"218","3","Sep 19 2015","","Sat","Western Carolina","0",NA,"Tennessee","0","","",769,"Western Carolina",694,"Tennessee"
"219","3","Sep 19 2015","","Sat","Western Kentucky","0",NA,"Indiana","0","","",772,"Western Kentucky",306,"Indiana"
"220","3","Sep 19 2015","","Sat","William & Mary","0",NA,"Virginia","0","","",786,"William & Mary",746,"Virginia"
"221","3","Sep 19 2015","","Sat","Wofford","0",NA,"Idaho","0","","",2915,"Wofford",295,"Idaho"
"222","3","Sep 19 2015","","Sat","Wyoming","0",NA,"Washington State","0","","",811,"Wyoming",754,"Washington State"
"223","4","Sep 24 2015","","Thu","Cincinnati","0",NA,"Memphis","0","","",140,"Cincinnati",404,"Memphis"
"224","4","Sep 25 2015","","Fri","Boise State","0",NA,"Virginia","0","","",66,"Boise State",746,"Virginia"
"225","4","Sep 25 2015","","Fri","Stanford","0",NA,"Oregon State","0","","",674,"Stanford",528,"Oregon State"
"226","4","Sep 26 2015","","Sat","Akron","0",NA,"Louisiana-Lafayette","0","","",5,"Akron",671,"Louisiana-Lafayette"
"227","4","Sep 26 2015","","Sat","Appalachian State","0",NA,"Old Dominion","0","","",27,"Appalachian State",523,"Old Dominion"
"228","4","Sep 26 2015","","Sat","Arkansas State","0",NA,"Toledo","0","","",30,"Arkansas State",709,"Toledo"
"229","4","Sep 26 2015","","Sat","Army","0",NA,"Eastern Michigan","0","","",725,"Army",204,"Eastern Michigan"
"230","4","Sep 26 2015","","Sat","Ball State","0",NA,"Northwestern","0","","",47,"Ball State",509,"Northwestern"
"231","4","Sep 26 2015","","Sat","Bowling Green State","0",NA,"Purdue","0","","",71,"Bowling Green",559,"Purdue"
"232","4","Sep 26 2015","","Sat","Brigham Young","0",NA,"Michigan","0","","",77,"BYU",418,"Michigan"
"233","4","Sep 26 2015","","Sat","California","0",NA,"Washington","0","","",107,"California",756,"Washington"
"234","4","Sep 26 2015","","Sat","Central Florida","0",NA,"South Carolina","0","","",128,"UCF",648,"South Carolina"
"235","4","Sep 26 2015","","Sat","Central Michigan","0",NA,"Michigan State","0","","",129,"Central Michigan",416,"Michigan State"
"236","4","Sep 26 2015","","Sat","Colorado State","0",NA,"Texas-San Antonio","0","","",156,"Colorado State",706,"UTSA"
"237","4","Sep 26 2015","","Sat","Delaware","0",NA,"North Carolina","0","","",180,"Delaware",457,"North Carolina"
"238","4","Sep 26 2015","","Sat","Florida Atlantic","0",NA,"UNC Charlotte","0","","",229,"Florida Atlantic",NA,NA
"239","4","Sep 26 2015","","Sat","Florida International","0",NA,"Louisiana Tech","0","","",231,"Florida International",366,"Louisiana Tech"
"240","4","Sep 26 2015","","Sat","Fresno State","0",NA,"San Jose State","0","","",96,"Fresno State",630,"San Jose State"
"241","4","Sep 26 2015","","Sat","Georgia Southern","0",NA,"Idaho","0","","",253,"Georgia Southern",295,"Idaho"
"242","4","Sep 26 2015","","Sat","Georgia Tech","0",NA,"Duke","0","","",255,"Georgia Tech",193,"Duke"
"243","4","Sep 26 2015","","Sat","Hawaii","0",NA,"Wisconsin","0","","",277,"Hawai'i",796,"Wisconsin"
"244","4","Sep 26 2015","","Sat","Idaho State","0",NA,"Nevada-Las Vegas","0","","",294,"Idaho State",465,"UNLV"
"245","4","Sep 26 2015","","Sat","Indiana","0",NA,"Wake Forest","0","","",306,"Indiana",749,"Wake Forest"
"246","4","Sep 26 2015","","Sat","James Madison","0",NA,"Southern Methodist","0","","",317,"James Madison",663,"SMU"
"247","4","Sep 26 2015","","Sat","Kansas","0",NA,"Rutgers","0","","",328,"Kansas",587,"Rutgers"
"248","4","Sep 26 2015","","Sat","Louisiana State","0",NA,"Syracuse","0","","",365,"LSU",688,"Syracuse"
"249","4","Sep 26 2015","","Sat","Louisiana-Monroe","0",NA,"Alabama","0","","",498,"Louisiana-Monroe",8,"Alabama"
"250","4","Sep 26 2015","","Sat","Marshall","0",NA,"Kent State","0","","",388,"Marshall",331,"Kent State"
"251","4","Sep 26 2015","","Sat","Maryland","0",NA,"West Virginia","0","","",392,"Maryland",768,"West Virginia"
"252","4","Sep 26 2015","","Sat","Massachusetts","0",NA,"Notre Dame","0","","",400,"Massachusetts",513,"Notre Dame"
"253","4","Sep 26 2015","","Sat","Miami (OH)","0",NA,"Western Kentucky","0","","",414,"Miami (Ohio)",772,"Western Kentucky"
"254","4","Sep 26 2015","","Sat","Middle Tennessee State","0",NA,"Illinois","0","","",419,"Middle Tennessee",301,"Illinois"
"255","4","Sep 26 2015","","Sat","Mississippi State","0",NA,"Auburn","0","","",430,"Mississippi State",37,"Auburn"
"256","4","Sep 26 2015","","Sat","Missouri","0",NA,"Kentucky","0","","",434,"Missouri",334,"Kentucky"
"257","4","Sep 26 2015","","Sat","Navy","0",NA,"Connecticut","0","","",726,"Navy",164,"Connecticut"
"258","4","Sep 26 2015","","Sat","Nevada","0",NA,"Buffalo","0","","",466,"Nevada",86,"Buffalo"
"259","4","Sep 26 2015","","Sat","New Mexico","0",NA,"Wyoming","0","","",473,"New Mexico",811,"Wyoming"
"260","4","Sep 26 2015","","Sat","Nicholls State","0",NA,"Colorado","0","","",483,"Nicholls State",157,"Colorado"
"261","4","Sep 26 2015","","Sat","North Carolina State","0",NA,"South Alabama","0","","",490,"North Carolina State",646,"South Alabama"
"262","4","Sep 26 2015","","Sat","North Texas","0",NA,"Iowa","0","","",497,"North Texas",312,"Iowa"
"263","4","Sep 26 2015","","Sat","Northern Illinois","0",NA,"Boston College","0","","",503,"Northern Illinois",67,"Boston College"
"264","4","Sep 26 2015","","Sat","Ohio","0",NA,"Minnesota","0","","",519,"Ohio",428,"Minnesota"
"265","4","Sep 26 2015","","Sat","Oklahoma State","0",NA,"Texas","0","","",521,"Oklahoma State",703,"Texas"
"266","4","Sep 26 2015","","Sat","Rice","0",NA,"Baylor","0","","",574,"Rice",51,"Baylor"
"267","4","Sep 26 2015","","Sat","Samford","0",NA,"Louisville","0","","",625,"Samford",367,"Louisville"
"268","4","Sep 26 2015","","Sat","San Diego State","0",NA,"Penn State","0","","",626,"San Diego State",539,"Penn State"
"269","4","Sep 26 2015","","Sat","Southern","0",NA,"Georgia","0","","",665,"Southern University",257,"Georgia"
"270","4","Sep 26 2015","","Sat","Southern California","0",NA,"Arizona State","0","","",657,"USC",28,"Arizona State"
"271","4","Sep 26 2015","","Sat","Southern Mississippi","0",NA,"Nebraska","0","","",664,"Southern Mississippi",463,"Nebraska"
"272","4","Sep 26 2015","","Sat","Tennessee","0",NA,"Florida","0","","",694,"Tennessee",235,"Florida"
"273","4","Sep 26 2015","","Sat","Texas A&M","0",NA,"Arkansas","0","","",697,"Texas A&M",31,"Arkansas"
"274","4","Sep 26 2015","","Sat","Texas Christian","0",NA,"Texas Tech","0","","",698,"TCU",700,"Texas Tech"
"275","4","Sep 26 2015","","Sat","Texas State","0",NA,"Houston","0","","",670,"Texas State",288,"Houston"
"276","4","Sep 26 2015","","Sat","UCLA","0",NA,"Arizona","0","","",110,"UCLA",29,"Arizona"
"277","4","Sep 26 2015","","Sat","Utah","0",NA,"Oregon","0","","",732,"Utah",529,"Oregon"
"278","4","Sep 26 2015","","Sat","Vanderbilt","0",NA,"Mississippi","0","","",736,"Vanderbilt",433,"Mississippi"
"279","4","Sep 26 2015","","Sat","Virginia Tech","0",NA,"East Carolina","0","","",742,"Virginia Tech",196,"East Carolina"
"280","4","Sep 26 2015","","Sat","Western Michigan","0",NA,"Ohio State","0","","",774,"Western Michigan",518,"Ohio State"
"281","5","Oct 1 2015","","Thu","Miami (FL)","0",NA,"Cincinnati","0","","",415,"Miami (Florida)",140,"Cincinnati"
"282","5","Oct 2 2015","","Fri","Connecticut","0",NA,"Brigham Young","0","","",164,"Connecticut",77,"BYU"
"283","5","Oct 2 2015","","Fri","Memphis","0",NA,"South Florida","0","","",404,"Memphis",651,"South Florida"
"284","5","Oct 3 2015","","Sat","Air Force","0",NA,"Navy","0","","",721,"Air Force",726,"Navy"
"285","5","Oct 3 2015","","Sat","Alabama","0",NA,"Georgia","0","","",8,"Alabama",257,"Georgia"
"286","5","Oct 3 2015","","Sat","Arizona","0",NA,"Stanford","0","","",29,"Arizona",674,"Stanford"
"287","5","Oct 3 2015","","Sat","Arizona State","0",NA,"UCLA","0","","",28,"Arizona State",110,"UCLA"
"288","5","Oct 3 2015","","Sat","Arkansas","0",NA,"Tennessee","0","","",31,"Arkansas",694,"Tennessee"
"289","5","Oct 3 2015","","Sat","Army","0",NA,"Penn State","0","","",725,"Army",539,"Penn State"
"290","5","Oct 3 2015","","Sat","Boston College","0",NA,"Duke","0","","",67,"Boston College",193,"Duke"
"291","5","Oct 3 2015","","Sat","Bowling Green State","0",NA,"Buffalo","0","","",71,"Bowling Green",86,"Buffalo"
"292","5","Oct 3 2015","","Sat","Central Florida","0",NA,"Tulane","0","","",128,"UCF",718,"Tulane"
"293","5","Oct 3 2015","","Sat","Colorado State","0",NA,"Utah State","0","","",156,"Colorado State",731,"Utah State"
"294","5","Oct 3 2015","","Sat","East Carolina","0",NA,"Southern Methodist","0","","",196,"East Carolina",663,"SMU"
"295","5","Oct 3 2015","","Sat","Eastern Kentucky","0",NA,"Kentucky","0","","",202,"Eastern Kentucky",334,"Kentucky"
"296","5","Oct 3 2015","","Sat","Eastern Michigan","0",NA,"Louisiana State","0","","",204,"Eastern Michigan",365,"LSU"
"297","5","Oct 3 2015","","Sat","Florida International","0",NA,"Massachusetts","0","","",231,"Florida International",400,"Massachusetts"
"298","5","Oct 3 2015","","Sat","Florida State","0",NA,"Wake Forest","0","","",234,"Florida State",749,"Wake Forest"
"299","5","Oct 3 2015","","Sat","Fresno State","0",NA,"San Diego State","0","","",96,"Fresno State",626,"San Diego State"
"300","5","Oct 3 2015","","Sat","Georgia Southern","0",NA,"Louisiana-Monroe","0","","",253,"Georgia Southern",498,"Louisiana-Monroe"
"301","5","Oct 3 2015","","Sat","Hawaii","0",NA,"Boise State","0","","",277,"Hawai'i",66,"Boise State"
"302","5","Oct 3 2015","","Sat","Houston","0",NA,"Tulsa","0","","",288,"Houston",719,"Tulsa"
"303","5","Oct 3 2015","","Sat","Idaho","0",NA,"Arkansas State","0","","",295,"Idaho",30,"Arkansas State"
"304","5","Oct 3 2015","","Sat","Iowa","0",NA,"Wisconsin","0","","",312,"Iowa",796,"Wisconsin"
"305","5","Oct 3 2015","","Sat","Kansas","0",NA,"Iowa State","0","","",328,"Kansas",311,"Iowa State"
"306","5","Oct 3 2015","","Sat","Kansas State","0",NA,"Oklahoma State","0","","",327,"Kansas State",521,"Oklahoma State"
"307","5","Oct 3 2015","","Sat","Liberty","0",NA,"Georgia State","0","","",355,"Liberty",254,"Georgia State"
"308","5","Oct 3 2015","","Sat","Louisiana-Lafayette","0",NA,"Louisiana Tech","0","","",671,"Louisiana-Lafayette",366,"Louisiana Tech"
"309","5","Oct 3 2015","","Sat","Louisville","0",NA,"North Carolina State","0","","",367,"Louisville",490,"North Carolina State"
"310","5","Oct 3 2015","","Sat","Miami (OH)","0",NA,"Kent State","0","","",414,"Miami (Ohio)",331,"Kent State"
"311","5","Oct 3 2015","","Sat","Michigan","0",NA,"Maryland","0","","",418,"Michigan",392,"Maryland"
"312","5","Oct 3 2015","","Sat","Minnesota","0",NA,"Northwestern","0","","",428,"Minnesota",509,"Northwestern"
"313","5","Oct 3 2015","","Sat","Mississippi","0",NA,"Florida","0","","",433,"Mississippi",235,"Florida"
"314","5","Oct 3 2015","","Sat","Mississippi State","0",NA,"Texas A&M","0","","",430,"Mississippi State",697,"Texas A&M"
"315","5","Oct 3 2015","","Sat","Nebraska","0",NA,"Illinois","0","","",463,"Nebraska",301,"Illinois"
"316","5","Oct 3 2015","","Sat","Nevada-Las Vegas","0",NA,"Nevada","0","","",465,"UNLV",466,"Nevada"
"317","5","Oct 3 2015","","Sat","New Mexico State","0",NA,"New Mexico","0","","",472,"New Mexico State",473,"New Mexico"
"318","5","Oct 3 2015","","Sat","North Carolina","0",NA,"Georgia Tech","0","","",457,"North Carolina",255,"Georgia Tech"
"319","5","Oct 3 2015","","Sat","North Texas","0",NA,"Southern Mississippi","0","","",497,"North Texas",664,"Southern Mississippi"
"320","5","Oct 3 2015","","Sat","Northern Illinois","0",NA,"Central Michigan","0","","",503,"Northern Illinois",129,"Central Michigan"
"321","5","Oct 3 2015","","Sat","Notre Dame","0",NA,"Clemson","0","","",513,"Notre Dame",147,"Clemson"
"322","5","Oct 3 2015","","Sat","Ohio","0",NA,"Akron","0","","",519,"Ohio",5,"Akron"
"323","5","Oct 3 2015","","Sat","Ohio State","0",NA,"Indiana","0","","",518,"Ohio State",306,"Indiana"
"324","5","Oct 3 2015","","Sat","Old Dominion","0",NA,"Marshall","0","","",523,"Old Dominion",388,"Marshall"
"325","5","Oct 3 2015","","Sat","Oregon","0",NA,"Colorado","0","","",529,"Oregon",157,"Colorado"
"326","5","Oct 3 2015","","Sat","Pittsburgh","0",NA,"Virginia Tech","0","","",545,"Pittsburgh",742,"Virginia Tech"
"327","5","Oct 3 2015","","Sat","Purdue","0",NA,"Michigan State","0","","",559,"Purdue",416,"Michigan State"
"328","5","Oct 3 2015","","Sat","San Jose State","0",NA,"Auburn","0","","",630,"San Jose State",37,"Auburn"
"329","5","Oct 3 2015","","Sat","South Alabama","0",NA,"Troy","0","","",646,"South Alabama",716,"Troy"
"330","5","Oct 3 2015","","Sat","South Carolina","0",NA,"Missouri","0","","",648,"South Carolina",434,"Missouri"
"331","5","Oct 3 2015","","Sat","Temple","0",NA,"UNC Charlotte","0","","",690,"Temple",NA,NA
"332","5","Oct 3 2015","","Sat","Texas","0",NA,"Texas Christian","0","","",703,"Texas",698,"TCU"
"333","5","Oct 3 2015","","Sat","Texas Tech","0",NA,"Baylor","0","","",700,"Texas Tech",51,"Baylor"
"334","5","Oct 3 2015","","Sat","Texas-San Antonio","0",NA,"Texas-El Paso","0","","",706,"UTSA",704,"UTEP"
"335","5","Oct 3 2015","","Sat","Toledo","0",NA,"Ball State","0","","",709,"Toledo",47,"Ball State"
"336","5","Oct 3 2015","","Sat","Vanderbilt","0",NA,"Middle Tennessee State","0","","",736,"Vanderbilt",419,"Middle Tennessee"
"337","5","Oct 3 2015","","Sat","Washington State","0",NA,"California","0","","",754,"Washington State",107,"California"
"338","5","Oct 3 2015","","Sat","West Virginia","0",NA,"Oklahoma","0","","",768,"West Virginia",522,"Oklahoma"
"339","5","Oct 3 2015","","Sat","Western Kentucky","0",NA,"Rice","0","","",772,"Western Kentucky",574,"Rice"
"340","5","Oct 3 2015","","Sat","Wyoming","0",NA,"Appalachian State","0","","",811,"Wyoming",27,"Appalachian State"
"341","6","Oct 8 2015","","Thu","Southern Methodist","0",NA,"Houston","0","","",663,"SMU",288,"Houston"
"342","6","Oct 8 2015","","Thu","Washington","0",NA,"Southern California","0","","",756,"Washington",657,"USC"
"343","6","Oct 9 2015","","Fri","North Carolina State","0",NA,"Virginia Tech","0","","",490,"North Carolina State",742,"Virginia Tech"
"344","6","Oct 10 2015","","Sat","Akron","0",NA,"Eastern Michigan","0","","",5,"Akron",204,"Eastern Michigan"
