"Rk","Wk","Date","Time","Day","Away","Pts","none","Home","Pts","TV","Notes","Away_CFB_Stats_Team_Code","Away_CFB_Stats_Name","Home_CFB_Stats_Team_Code","Home_CFB_Stats_Name"
"371","6","Oct 10 2015","","Sat","Middle Tennessee State","0",NA,"Western Kentucky","0","","",419,"Middle Tennessee",772,"Western Kentucky"
"372","6","Oct 10 2015","","Sat","Minnesota","0",NA,"Purdue","0","","",428,"Minnesota",559,"Purdue"
"373","6","Oct 10 2015","","Sat","Navy","0",NA,"Notre Dame","0","","",726,"Navy",513,"Notre Dame"
"374","6","Oct 10 2015","","Sat","New Mexico","0",NA,"Nevada","0","","",473,"New Mexico",466,"Nevada"
"375","6","Oct 10 2015","","Sat","New Mexico State","0",NA,"Mississippi","0","","",472,"New Mexico State",433,"Mississippi"
"376","6","Oct 10 2015","","Sat","Northwestern","0",NA,"Michigan","0","","",509,"Northwestern",418,"Michigan"
"377","6","Oct 10 2015","","Sat","Oklahoma","0",NA,"Texas","0","","",522,"Oklahoma",703,"Texas"
"378","6","Oct 10 2015","","Sat","Oklahoma State","0",NA,"West Virginia","0","","",521,"Oklahoma State",768,"West Virginia"
"379","6","Oct 10 2015","","Sat","Oregon State","0",NA,"Arizona","0","","",528,"Oregon State",29,"Arizona"
"380","6","Oct 10 2015","","Sat","Portland State","0",NA,"North Texas","0","","",550,"Portland State",497,"North Texas"
"381","6","Oct 10 2015","","Sat","Rice","0",NA,"Florida Atlantic","0","","",574,"Rice",229,"Florida Atlantic"
"382","6","Oct 10 2015","","Sat","San Diego State","0",NA,"Hawaii","0","","",626,"San Diego State",277,"Hawai'i"
"383","6","Oct 10 2015","","Sat","San Jose State","0",NA,"Nevada-Las Vegas","0","","",630,"San Jose State",465,"UNLV"
"384","6","Oct 10 2015","","Sat","Southern Mississippi","0",NA,"Marshall","0","","",664,"Southern Mississippi",388,"Marshall"
"385","6","Oct 10 2015","","Sat","Syracuse","0",NA,"South Florida","0","","",688,"Syracuse",651,"South Florida"
"386","6","Oct 10 2015","","Sat","Texas Christian","0",NA,"Kansas State","0","","",698,"TCU",327,"Kansas State"
"387","6","Oct 10 2015","","Sat","Texas State","0",NA,"Louisiana-Lafayette","0","","",670,"Texas State",671,"Louisiana-Lafayette"
"388","6","Oct 10 2015","","Sat","Texas-El Paso","0",NA,"Florida International","0","","",704,"UTEP",231,"Florida International"
"389","6","Oct 10 2015","","Sat","Troy","0",NA,"Mississippi State","0","","",716,"Troy",430,"Mississippi State"
"390","6","Oct 10 2015","","Sat","Tulane","0",NA,"Temple","0","","",718,"Tulane",690,"Temple"
"391","6","Oct 10 2015","","Sat","Utah State","0",NA,"Fresno State","0","","",731,"Utah State",96,"Fresno State"
"392","6","Oct 10 2015","","Sat","Virginia","0",NA,"Pittsburgh","0","","",746,"Virginia",545,"Pittsburgh"
"393","6","Oct 10 2015","","Sat","Wake Forest","0",NA,"Boston College","0","","",749,"Wake Forest",67,"Boston College"
"394","6","Oct 10 2015","","Sat","Washington State","0",NA,"Oregon","0","","",754,"Washington State",529,"Oregon"
"395","6","Oct 10 2015","","Sat","Wisconsin","0",NA,"Nebraska","0","","",796,"Wisconsin",463,"Nebraska"
