"RK","PLAYER","RESULT","PASS_EPA","RUN_EPA","SACK_EPA","PEN_EPA","TOTAL_EPA","ACT_PLAYS","RAW_QBR","TOTAL_QBR","Week","Team","Opponent","QB","QBshort","Win","Points_For"
65,"Maty Mauk, MIZ","W 27-20  @ ARST",-1.8,5.4,-1.3,0.5,2.7,50,51.5,58.4,2,"MIZ","ARST","Maty Mauk","Mauk, M","W",27
66,"Joel Stave, WIS","W 58-0  vs M-OH",2.6,0,-0.5,0,2.1,33,63.4,57.7,2,"WIS","OH","Joel Stave","Stave, J","W",58
67,"Zach Terrell, WMU","L 43-17  @ GASO",2.2,-0.9,-0.4,0,1,44,47,56.9,2,"WMU","GASO","Zach Terrell","Terrell, Z","L",17
68,"Mike Bercovici, ASU","W 35-21  vs CP",7.3,-0.6,-0.6,0.7,6.6,38,80.2,56.8,2,"ASU","CP","Mike Bercovici","Bercovici, M","W",35
69,"Will Grier, FLA","W 31-24  vs ECU",1.6,0.9,-0.8,0.5,2.1,24,60.1,56.4,2,"FLA","ECU","Will Grier","Grier, W","W",31
70,"Chason Virgil, FRES","L 73-21  @ MISS",0,-0.1,0,0.1,0,24,36.3,55.9,2,"FRES","MISS","Chason Virgil","Virgil, C","L",21
71,"Joe Licata, BUFF","L 27-14  @ PSU",1.8,0,-3.6,0.3,-1.6,48,28,52.3,2,"BUFF","PSU","Joe Licata","Licata, J","L",14
72,"Brandon Silvers, TROY","W 44-16  vs CHSO",5.1,0,-1.6,0,3.5,32,76.6,51.6,2,"TROY","CHSO","Brandon Silvers","Silvers, B","W",44
73,"Nate Romine, AFA","W 37-16  vs SJSU",-3.2,5,0,1,2.8,35,58.8,51.4,2,"AFA","SJSU","Nate Romine","Romine, N","W",37
74,"Austin Appleby, PUR","W 38-14  vs INST",6,0,-0.4,0,5.7,49,76.4,51.2,2,"PUR","INST","Austin Appleby","Appleby, A","W",38
75,"Perry Orth, SC","L 26-22  vs UK",2,0,-0.7,0.7,2.1,23,61.5,51.2,2,"SC","UK","Perry Orth","Orth, P","L",22
76,"Mason Rudolph, OKST","W 32-8  vs UCA",6.9,0,-1.4,-0.3,5.2,38,75.3,49.8,2,"OKST","UCA","Mason Rudolph","Rudolph, M","W",32
77,"Seth Russell, BAY","W 66-31  vs LAM",6.4,0,-1.4,0.3,5.3,42,75.3,49.7,2,"BAY","LAM","Seth Russell","Russell, S","W",66
78,"Ryan Finley, BSU","L 35-24  @ BYU",3,0.4,-2.7,0.8,1.4,53,45,48.3,2,"BSU","BYU","Ryan Finley","Finley, R","L",24
79,"Nate Sudfeld, IND","W 36-22  vs FIU",1.8,0.3,-0.4,1.1,2.9,41,55.8,47.9,2,"IND","FIU","Nate Sudfeld","Sudfeld, N","W",36
80,"Alex McGough, FIU","L 36-22  @ IND",3.9,-0.2,-1.2,1.2,3.7,52,55.9,47.7,2,"FIU","IND","Alex McGough","McGough, A","L",22
81,"Christian Hackenberg, PSU","W 27-14  vs BUFF",2,0.5,0,0,2.5,35,58.6,46.5,2,"PSU","BUFF","Christian Hackenberg","Hackenberg, C","W",27
82,"Blake Frohnapfel, UMASS","L 48-14  @ COLO",2.6,0,-2.4,0.4,0.6,39,42.5,46.4,2,"UMASS","COLO","Blake Frohnapfel","Frohnapfel, B","L",14
83,"P.J. Walker, TEM","W 34-26  @ CIN",1.2,-0.1,-0.3,-0.1,0.6,25,44.9,46.2,2,"TEM","CIN","P.J. Walker","Walker, P","W",34
84,"Chris Laviano, RUTG","L 37-34  vs WSU",3.3,-1.4,-0.4,-0.5,1.3,39,46.6,46.2,2,"RUTG","WSU","Chris Laviano","Laviano, C","L",34
85,"Ahmad Bradshaw, ARMY","L 22-17  @ CONN",-0.5,0.9,0,0.1,0.5,21,43.2,45.4,2,"ARMY","CONN","Ahmad Bradshaw","Bradshaw, A","L",17
86,"Driphus Jackson, RICE","L 42-28  @ TEX",0.7,-0.8,-0.7,-0.2,-1.1,44,28.7,42.5,2,"RICE","TEX","Driphus Jackson","Jackson, D","L",28
87,"George Bollas, KENT","W 45-13  vs DSU",1.4,-0.1,-0.1,-0.1,1.2,33,69.1,42.1,2,"KENT","DSU","George Bollas","Bollas, G","W",45
88,"Kyler Murray, TA&M","W 56-23  vs BALL",0.6,0.3,-0.4,0,0.5,20,65.8,42,2,"TA","BALL","Kyler Murray","Murray, K","W",56
89,"Josh Rosen, UCLA","W 37-3  @ UNLV",4.6,-2.3,0,-0.1,2.1,47,53.5,41.2,2,"UCLA","UNLV","Josh Rosen","Rosen, J","W",37
90,"Cody Clements, USA","L 48-9  @ NEB",1.5,-1,0,0,0.5,44,42.5,40.6,2,"USA","NEB","Cody Clements","Clements, C","L",9
91,"Joshua Dobbs, TENN","L 31-24  vs OKLA",-1,-0.1,-1.8,-0.3,-3.1,48,20.5,40.5,2,"TENN","OKLA","Joshua Dobbs","Dobbs, J","L",24
92,"Perry Hills, MD","L 48-27  vs BGSU",-0.7,2.8,0,-0.1,2,39,51.1,40.3,2,"MD","BGSU","Perry Hills","Hills, P","L",27
93,"Tyler Rogers, NMSU","L 34-32  vs GAST",5,0.5,-1.5,-0.5,3.4,63,52,40.2,2,"NMSU","GAST","Tyler Rogers","Rogers, T","L",32
94,"Maxwell Smith, SDSU","L 35-7  @ CAL",0.9,-0.1,-0.6,-0.2,-0.1,24,36.3,38.8,2,"SDSU","CAL","Maxwell Smith","Smith, M","L",7
95,"JD Sprague, OHIO","W 21-10  vs MRSH",-0.1,-0.4,-0.7,-0.2,-1.4,32,27.8,37.1,2,"JD","MRSH","JD Sprague","Sprague, J","W",21
96,"Nick Mullens, USM","W 52-6  vs PEAY",1.4,1.3,0,-0.2,2.4,43,63.5,36.2,2,"USM","PEAY","Nick Mullens","Mullens, N","W",52
97,"Montell Cozart, KU","L 55-23  vs MEM",-0.6,2.3,-2,-0.2,-0.5,40,34.7,36,2,"KU","MEM","Montell Cozart","Cozart, M","L",23
98,"Fredi Knighten, ARST","L 27-20  vs MIZ",1.2,-3.4,-0.8,0.7,-2.3,36,23.6,35.4,2,"ARST","MIZ","Fredi Knighten","Knighten, F","L",20
99,"Mitch Leidner, MINN","W 23-20  @ CSU",2.5,-2.8,-0.3,0.2,-0.3,61,36.5,33.8,2,"MINN","CSU","Mitch Leidner","Leidner, M","W",23
100,"Jake Rudock, MICH","W 35-7  vs ORST",1.7,0.3,-1.8,-0.7,-0.4,36,34.2,31.6,2,"MICH","ORST","Jake Rudock","Rudock, J","W",35
101,"Jeremy Johnson, AUB","W 27-20  vs JVST",4.2,-1.4,0,0,2.8,38,57.2,30.3,2,"AUB","JVST","Jeremy Johnson","Johnson, J","W",27
102,"Tanner Lee, TULN","L 65-10  @ GT",-0.2,0,-1.1,0.1,-1.2,36,23.9,27.9,2,"TULN","GT","Tanner Lee","Lee, T","L",10
103,"Johnny McCrary, VAN","L 31-14  vs UGA",-2.9,-0.7,-2.2,0.1,-5.7,64,15,26.1,2,"VAN","UGA","Johnny McCrary","McCrary, J","L",14
104,"Cardale Jones, OSU","W 38-0  vs HAW",2.3,-0.6,-1.3,0.1,0.4,28,42.7,25.9,2,"OSU","HAW","Cardale Jones","Jones, C","W",38
105,"Everett Golson, FSU","W 34-14  vs USF",1.2,-1.6,-2.5,-0.1,-3.1,36,17.9,25.6,2,"FSU","USF","Everett Golson","Golson, E","W",34
106,"Lamar Jackson, LOU","L 34-31  vs HOU",2.4,-3,-1.7,-0.5,-2.8,42,23.2,25.3,2,"LOU","HOU","Lamar Jackson","Jackson, L","L",31
